pathway,pval,padj,ES,NES,nMoreExtreme,size
GO_BP_MYELOID_LEUKOCYTE_ACTIVATION,0.4152892561983471,0.8626717352725685,-0.23181307568791118,-1.0080107853412088,200,296
GO_BP_CELL_ACTIVATION,0.2315369261477046,0.7437128440354626,-0.23616327207211957,-1.0746177699622208,115,463
GO_BP_PLATELET_DEGRANULATION,0.024761904761904763,0.31879279279279277,0.43156480546207854,1.4690414196529709,12,51
GO_BP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,0.21951219512195122,0.7304161156153566,-0.2513678972823138,-1.0908147286003025,107,287
GO_BP_SECRETION,0.5343811394891945,0.9023231916916552,-0.2110419979731861,-0.9788420230425535,271,597
GO_BP_EXOCYTOSIS,0.8098159509202454,0.9837795830628557,0.1990232288897355,0.8959482941453568,395,409
GO_BP_LEUKOCYTE_MEDIATED_IMMUNITY,0.1606425702811245,0.6651202812117658,-0.2561206684319321,-1.126465200010216,79,324
GO_BP_IMMUNE_EFFECTOR_PROCESS,0.115234375,0.5852014342350745,-0.2522240954617805,-1.1449477220461244,58,447
GO_BP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.13765182186234817,0.6289730968261827,-0.262638270260264,-1.151727718335891,67,311
GO_BP_RNA_MODIFICATION,0.034482758620689655,0.3443576953661534,0.3800493218089818,1.3919415631905863,17,77
GO_BP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING,0.16895874263261296,0.6747788394115606,-0.6297785391174677,-1.3106244812692744,85,7
GO_BP_RNA_PROCESSING,0.00199203187250996,0.09855279355325906,0.35816125687184014,1.6491929648270232,0,523
GO_BP_MRNA_PROCESSING,1,1,0.13963168283410465,0.6086340997053554,507,290
GO_BP_PROTEIN_STABILIZATION,0.9606003752345216,1,0.1961658491333816,0.7325000747012362,511,82
GO_BP_REGULATION_OF_PROTEIN_STABILITY,0.9781746031746031,1,0.18426950032835893,0.7233380552509903,492,126
GO_BP_MRNA_METABOLIC_PROCESS,0.9153225806451613,1,0.19134463218575565,0.8770584119880492,453,489
GO_BP_CYTIDINE_TO_URIDINE_EDITING,0.305019305019305,0.8085472784971951,-0.6701049522083188,-1.1792604948994945,157,4
GO_BP_MRNA_MODIFICATION,0.8710280373831776,0.9956497320954715,0.2716527969329622,0.6935692509780867,465,15
GO_BP_COAGULATION,0.17533718689788053,0.6862083485699723,0.2939747916623616,1.1527512654558185,90,118
GO_BP_REGULATION_OF_PROTEOLYSIS,0.8229376257545271,0.9875913539419809,-0.20895881535074648,-0.8906102845655378,408,258
GO_BP_REGULATION_OF_HYDROLASE_ACTIVITY,0.89453125,1,-0.1929379186055694,-0.875823659905803,457,447
GO_BP_REGULATION_OF_BODY_FLUID_LEVELS,0.6023622047244095,0.9143133651382204,0.23205180658508012,0.9461646691443827,305,162
GO_BP_STEM_CELL_DIFFERENTIATION,0.9727095516569201,1,0.19052593774282184,0.7251858123504846,498,97
GO_BP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.1711340206185567,0.6784865690774778,-0.2570830433120199,-1.111914752058079,82,286
