pathway,pval,padj,ES,NES,nMoreExtreme,size
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.004016064257028112,0.06927402862985686,0.7149644977353811,1.8704280935235327,1,16
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.7216699801192843,0.9075293021453645,-0.44425895347653416,-0.802715591598647,362,4
KEGG_BUTANOATE_METABOLISM,0.504950495049505,0.788805276258569,-0.3366249078495486,-0.9717220199115194,254,26
KEGG_LYSINE_DEGRADATION,0.058,0.28067857142857144,-0.5441524092194486,-1.4879740612897174,28,20
KEGG_TRYPTOPHAN_METABOLISM,0.19444444444444445,0.5252252792263582,-0.4729829819233521,-1.245234754773734,97,17
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.15139442231075698,0.46024394009572334,0.4700216400682563,1.3032864501364978,75,20
KEGG_BETA_ALANINE_METABOLISM,0.10714285714285714,0.3996549661226818,-0.5369004433227892,-1.3857091494046083,53,16
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.08840864440078586,0.36287279367011566,0.5240490133094138,1.4325030494824134,44,19
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.015655577299412915,0.1543994587472848,-0.48464673790143314,-1.5361847547892766,7,39
KEGG_PROPANOATE_METABOLISM,0.02178217821782178,0.1888950495049505,-0.5403278920423371,-1.5597434961781815,10,26
KEGG_ABC_TRANSPORTERS,0.8646034816247582,0.967127870101266,0.2580579791641906,0.6982695319028644,446,18
KEGG_LYSOSOME,0.0019880715705765406,0.043249281838493456,0.4742681064216876,1.663754474362973,0,64
KEGG_TYPE_II_DIABETES_MELLITUS,0.144,0.4550903790087463,0.5753716256519403,1.3474782166461714,71,11
KEGG_PEROXISOME,0.08032128514056225,0.3451237410407138,-0.38042647831889254,-1.3146616223561796,39,63
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.96579476861167,0.9979635729929957,-0.18749489846636289,-0.6918183376920921,479,86
KEGG_CELL_CYCLE,0.002012072434607646,0.043249281838493456,-0.6042487208356642,-1.9607853191925904,0,47
KEGG_ERBB_SIGNALING_PATHWAY,0.030592734225621414,0.22097363961829045,-0.49472812320932424,-1.527119360073568,15,34
KEGG_PATHWAYS_IN_CANCER,0.3253493013972056,0.6426025664196638,-0.28387434117073784,-1.0776869018401705,162,102
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.2447418738049713,0.5730025727960883,-0.3787787442937721,-1.169208554070073,127,34
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.007984031936127744,0.10683223692315275,-0.47542811722254136,-1.5633013155762656,3,49
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.9959514170040485,1,0.16416082793288161,0.4894637026891817,491,30
KEGG_VIRAL_MYOCARDITIS,0.334020618556701,0.652794102709213,-0.41681228061113496,-1.11028736724919,161,18
KEGG_AXON_GUIDANCE,0.7387914230019493,0.9184058515299461,-0.25787255081314164,-0.829156413506371,378,42
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.672,0.8785503459621619,-0.43471638152681485,-0.8307685378799278,335,5
KEGG_FATTY_ACID_METABOLISM,0.4613778705636743,0.7588710016645334,0.32906409642572537,1.007000552454391,220,34
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.6046511627906976,0.8412353835666718,-0.36854029750234946,-0.891251020746196,311,12
KEGG_PPAR_SIGNALING_PATHWAY,0.275049115913556,0.6035490721665885,-0.3645246814480428,-1.139491796731539,139,37
KEGG_PYRUVATE_METABOLISM,0.21104536489151873,0.5385704241856105,-0.4104932750469346,-1.2048810300350223,106,28
KEGG_INSULIN_SIGNALING_PATHWAY,0.6779324055666004,0.8800942845918501,0.2500559789016807,0.8772079507471175,340,64
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.20641282565130262,0.5339901477832513,0.4114846182037825,1.2118174782425937,102,27
KEGG_ENDOCYTOSIS,0.146484375,0.45747540036871687,0.31773252839156907,1.1779527221766943,74,85
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.31976744186046513,0.6404550458715597,-0.4635150254135072,-1.1209309872778668,164,12
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.00408997955010225,0.06927402862985686,-0.7929972474760396,-1.769839033822429,1,9
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.4171656686626746,0.7235321357285428,0.35681728262965684,1.021659325445912,208,23
KEGG_SPHINGOLIPID_METABOLISM,0.2697768762677485,0.5968125181106926,-0.4296292398485731,-1.158337075705063,132,19
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.1489795918367347,0.45898438648593015,0.4101113838723691,1.2376296683264258,72,32
KEGG_SPLICEOSOME,0.9961089494163424,1,-0.15517188848576055,-0.5814957257986655,511,94
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.6686868686868687,0.8785503459621619,0.3005173882504393,0.8627351356297824,330,24
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.05263157894736842,0.2742914979757085,0.6936281460142718,1.5507877046328638,26,9
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.8410462776659959,0.9575765410553078,0.3453162666376701,0.6762611707713825,417,6
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.6217303822937625,0.846578222778473,0.44451610299803657,0.8705323475409994,308,6
KEGG_ADHERENS_JUNCTION,0.08055009823182711,0.3451237410407138,-0.4408630068878794,-1.3781228141687354,40,37
KEGG_RIBOFLAVIN_METABOLISM,0.21384928716904278,0.5409496124031008,-0.5448079597745242,-1.2464862165289716,104,10
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.1887966804979253,0.5168070748983612,0.37824537866447416,1.1897733352092708,90,40
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.509765625,0.7928062230989956,-0.3174327398481374,-0.9651730981379991,260,32
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.703187250996016,0.8988855897166054,0.2958347957595491,0.8202972968145213,352,20
KEGG_FOCAL_ADHESION,0.9215686274509803,0.9881111692946218,-0.20716621590554277,-0.7505263003707346,469,76
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.3150684931506849,0.6378845437616387,-0.34579808458038824,-1.096076181319025,160,39
KEGG_DILATED_CARDIOMYOPATHY,0.6161616161616161,0.8452050384321301,0.3146258894315587,0.8809458201524428,304,21
KEGG_TIGHT_JUNCTION,0.679920477137177,0.8805660659697727,-0.25807183367982234,-0.8850031150069538,341,59
KEGG_VIBRIO_CHOLERAE_INFECTION,0.026262626262626262,0.19908172635445362,0.5478135502733649,1.5866353737639054,12,25
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0019723865877712033,0.043249281838493456,-0.8212330380294989,-2.333705463011553,0,24
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.5050100200400801,0.788805276258569,-0.4466020190443261,-0.96916429240882,251,8
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.4084507042253521,0.7152836242007782,0.5535694603452845,1.0841004827298986,202,6
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.7402061855670103,0.9191105442779373,-0.2988556185260177,-0.7960792743303259,358,18
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.23892100192678228,0.5692095957991912,-0.3788012022824755,-1.1669990071512732,123,33
KEGG_HISTIDINE_METABOLISM,0.3426294820717131,0.6562020469359312,-0.4691870034000464,-1.1074039444965866,171,11
KEGG_PRIMARY_IMMUNODEFICIENCY,0.47,0.762694610778443,-0.5299697626456994,-1.012803343843121,234,5
KEGG_PURINE_METABOLISM,0.2200392927308448,0.5474747474747474,-0.3262982382061854,-1.1574181017404526,111,69
KEGG_ALZHEIMERS_DISEASE,0.002066115702479339,0.043249281838493456,-0.7841523780585271,-2.8869735617708447,0,88
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.15031315240083507,0.45898438648593015,0.4085186049501697,1.2501469025064913,71,34
KEGG_NOTCH_SIGNALING_PATHWAY,0.158203125,0.466011379076087,-0.5375143706666512,-1.3169631529848305,80,13
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.6967871485943775,0.8938665906228463,0.3121287966117479,0.8165642795264844,346,16
KEGG_MELANOGENESIS,0.43984220907297833,0.7411632405199946,-0.36599214600781693,-1.0145892104255458,222,21
KEGG_LONG_TERM_POTENTIATION,0.6699801192842942,0.8785503459621619,-0.2989994040532318,-0.8759902678103552,336,27
KEGG_CALCIUM_SIGNALING_PATHWAY,0.4143968871595331,0.7211939372995597,-0.3304584184649158,-1.0299337266207071,212,36
KEGG_GAP_JUNCTION,0.2854330708661417,0.6126919778592033,-0.37325102873501337,-1.1205151154210113,144,30
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.006012024048096192,0.0899958488999585,-0.5109746635804925,-1.696663540892293,2,52
KEGG_OOCYTE_MEIOSIS,0.2403846153846154,0.5709489694981736,-0.36121324407783423,-1.153244712526785,124,40
KEGG_GNRH_SIGNALING_PATHWAY,0.22568093385214008,0.5522305469429342,-0.3828447339233413,-1.1932052006980196,115,36
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.03180914512922465,0.2239033332472696,-0.5154228358892964,-1.510054474776995,15,27
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.539651837524178,0.8051887934978604,0.3452782836751427,0.9342757247768225,278,18
KEGG_OLFACTORY_TRANSDUCTION,0.010224948875255624,0.12180048989864942,-0.806988920447095,-1.688320042149884,4,7
KEGG_TASTE_TRANSDUCTION,0.5128712871287129,0.794869997078586,-0.47236752345368405,-0.9519279363286868,258,6
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.3374233128834356,0.6533035714285714,-0.5364250674239458,-1.1222671953682963,164,7
KEGG_RETINOL_METABOLISM,0.002028397565922921,0.043249281838493456,-0.7910134321466943,-2.1326765053495236,0,19
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.013779527559055118,0.14621550793895483,-0.5367112470420069,-1.611229490686772,6,30
KEGG_TYROSINE_METABOLISM,0.91015625,0.9845296842360208,-0.26363995822786507,-0.6459438660401561,465,13
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.2504970178926441,0.5789739176879024,-0.39936855999614856,-1.1700457160903854,125,27
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.9127789046653144,0.9845296842360208,-0.24397554252976023,-0.6577902299598739,449,19
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.05436893203883495,0.27799963363253344,-0.8559728090645691,-1.4378686926354871,27,3
KEGG_OTHER_GLYCAN_DEGRADATION,0.7945736434108527,0.9413309611555895,-0.30753980195390535,-0.7437318639754822,409,12
KEGG_GLYCEROLIPID_METABOLISM,0.6787878787878788,0.8801507901986372,0.2947248468613264,0.8536131815724209,335,25
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.19842829076620824,0.5271967333102199,0.45421140211605615,1.2415999307621346,100,19
KEGG_ETHER_LIPID_METABOLISM,0.17153996101364521,0.4829852408799777,0.585035312893137,1.3079999351584122,87,9
