ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0055114,oxidation-reduction process,155/863,419/4859,5.318974989410309e-23,1.876534376263957e-19,1.6701581466748373e-19,Abcd1/Abcd3/Acaa1a/Acaa1b/Acaa2/Acad11/Acad8/Acadm/Acat1/Acat2/Aco1/Acox1/Adh1/Adipor2/Agmo/Akr1c13/Akr1c18/Aldh1a1/Aldh3b1/Aldh6a1/Aldh9a1/Aoc1/Apoa1/Auh/Bco2/Blvra/Blvrb/Cat/Cd36/Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7a2/Cox7c/Ctbp1/Cyb5a/Cyb5r3/Cyb5r4/Cyp2b10/Cyp2b19/Cyp2c29/Cyp2c40/Cyp2c55/Cyp2d26/Cyp2s1/Cyp3a11/Cyp3a25/Dbi/Decr2/Dgat1/Dhcr24/Dhcr7/Dhfr/Dhrs1/Dhrs4/Dhrs7b/Dld/Dpyd/Echdc1/Eci1/Eci3/Etfdh/Fads2/Fasn/Fmo5/Fth1/Gcdh/Glrx/Glud1/Gpd1/Gpd1l/Gpx1/Hacl1/Hadh/Hmgb1/Hpgd/Hsd11b2/Hsd17b11/Hsd17b4/Hsd17b6/Idh2/Ifi30/Ireb2/Ivd/Iyd/Khk/Lbr/Maob/Mapk14/Mgst1/Mical1/COX2/COX3/ND1/ND4/ND5/Mthfd1/Ndufa10/Ndufa11/Ndufa12/Ndufa2/Ndufa3/Ndufa4/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufb10/Ndufb11/Ndufb3/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc2/Ndufs1/Ndufs2/Ndufs3/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Pipox/Ppox/Prdx1/Prdx4/Pycrl/Pygb/Rdh11/Rdh16/Rdh7/Retsat/Rrm1/Scp2/Sdhb/Sdhc/Slc27a2/Sorbs1/Spr/Steap3/Tecr/Uqcr10/Uqcrb/Uqcrc1/Uqcrc2/Uqcrfs1/Uqcrq/Xdh,155
BP,GO:0022900,electron transport chain,38/863,60/4859,3.894776483907562e-15,6.87038571761294e-12,6.114799079734873e-12,Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7c/Dld/Etfdh/Gpd1/COX2/COX3/ND4/ND5/Ndufa10/Ndufa12/Ndufa5/Ndufa7/Ndufa8/Ndufb3/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs1/Ndufs2/Ndufs4/Ndufs6/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Sdhb/Sdhc/Uqcr10/Uqcrb/Uqcrc1/Uqcrfs1/Uqcrq,38
BP,GO:0022904,respiratory electron transport chain,37/863,59/4859,1.4385619278980942e-14,1.6917488272081587e-11,1.505694817866672e-11,Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7c/Dld/Etfdh/Gpd1/COX2/COX3/ND4/ND5/Ndufa10/Ndufa12/Ndufa5/Ndufa7/Ndufa8/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs1/Ndufs2/Ndufs4/Ndufs6/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Sdhb/Sdhc/Uqcr10/Uqcrb/Uqcrc1/Uqcrfs1/Uqcrq,37
BP,GO:0042773,ATP synthesis coupled electron transport,32/863,47/4859,2.8884438074132643e-14,2.5476074381384993e-11,2.2674283888194128e-11,Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7c/Dld/COX2/COX3/ND4/ND5/Ndufa10/Ndufa12/Ndufa7/Ndufa8/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs1/Ndufs2/Ndufs6/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Sdhc/Uqcr10/Uqcrb/Uqcrc1/Uqcrfs1/Uqcrq,32
BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,29/863,44/4859,1.7236496976369983e-12,1.216207226652666e-9,1.0824520101160352e-9,Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7c/Dld/COX3/ND4/Ndufa10/Ndufa12/Ndufa7/Ndufa8/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs2/Ndufs6/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Sdhc/Uqcr10/Uqcrb/Uqcrc1/Uqcrfs1/Uqcrq,29
BP,GO:0044255,cellular lipid metabolic process,124/863,401/4859,1.2236921068846594e-11,7.195309588481797e-9,6.403988692696385e-9,Abcd1/Abcd3/Abhd16a/Abhd6/Acaa1a/Acaa1b/Acaa2/Acad11/Acadm/Acat1/Acat2/Acot12/Acot4/Acox1/Acp6/Acss2/Adh1/Adipor2/Agmo/Agpat3/Akr1b7/Akr1c18/Aldh1a1/Apoa1/Apoa4/Asah2/Auh/B4galnt1/B4galnt2/B4galt5/Bco2/Bpnt1/Cat/Cd36/Cd74/Ces1d/Chka/Chkb/Cryl1/Cyb5a/Cyp2b10/Cyp2b19/Cyp2c29/Cyp2c40/Cyp2c55/Cyp2d26/Cyp2s1/Cyp4f14/Dab2ip/Dbi/Decr2/Dgat1/Dgka/Dhrs4/Dld/Echdc1/Eci1/Eci3/Efr3b/Ephx2/Etfdh/Fabp2/Fads2/Fasn/Fdps/Gcdh/Gde1/Ggt1/Gpd1/Gpx1/Hacl1/Hadh/Hexb/Hnf4a/Hpgd/Hsd17b4/Inpp5b/Ivd/Kdsr/Lipe/Lpcat3/Lpgat1/Lta4h/Lyn/Lypla1/Mapk14/Mlxipl/Mtmr12/Mttp/Mvd/Mvk/Naaa/Ncor1/Ndufs6/Pck1/Pcyt2/Pdk2/Pdk3/Pik3r1/Pip5k1b/Plb1/Plbd1/Plcb3/Plcg2/Pm20d1/Pmvk/Ptdss1/Ptk2b/Rbp2/Rdh11/Rdh16/Retsat/Scp2/Sgpl1/Slc27a2/Slc27a4/Smpd3/Smpdl3a/Smpdl3b/Soat2/St3gal4/Stard4/Tecr/Tmem86b,124
BP,GO:0006119,oxidative phosphorylation,39/863,77/4859,3.4510953000078575e-11,1.73935203120396e-8,1.548062748860668e-8,Abcd1/Atp5j/Cdk1/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox7a2/Cox7a2l/Cox7c/Dld/Mlxipl/Msh2/COX2/COX3/ND4/ND5/Ndufa10/Ndufa12/Ndufa7/Ndufa8/Ndufb6/Ndufb8/Ndufb9/Ndufc2/Ndufs1/Ndufs2/Ndufs6/Ndufs8/Ndufv1/Ndufv2/Ndufv3/Rhoa/Sdhc/Uqcr10/Uqcrb/Uqcrc1/Uqcrfs1/Uqcrq,39
BP,GO:0006631,fatty acid metabolic process,70/863,187/4859,5.7859057774568726e-11,2.5515844478584807e-8,2.270968017651823e-8,Abcd1/Abcd3/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acadm/Acat1/Acat2/Acot12/Acot4/Acox1/Acss2/Adipor2/Akr1c18/Apoa1/Apoa4/Asah2/Auh/Cd36/Cd74/Ces1d/Cryl1/Cyb5a/Cyp2b10/Cyp2b19/Cyp2c29/Cyp2c40/Cyp2c55/Cyp2d26/Cyp2s1/Cyp4f14/Dbi/Decr2/Dgat1/Dld/Echdc1/Eci1/Eci3/Ephx2/Etfdh/Fabp2/Fads2/Fasn/Gcdh/Ggt1/Gpx1/Hacl1/Hadh/Hnf4a/Hpgd/Hsd17b4/Ivd/Lipe/Lpgat1/Lypla1/Mapk14/Mlxipl/Naaa/Ncor1/Ndufs6/Pck1/Pdk2/Pdk3/Scp2/Sgpl1/Slc27a2/Slc27a4/Tecr,70
BP,GO:0032787,monocarboxylic acid metabolic process,92/863,278/4859,1.4245146132882099e-10,5.584097284089783e-8,4.9699732063610886e-8,Abat/Abcd1/Abcd3/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acadm/Acat1/Acat2/Acot12/Acot4/Acox1/Acss2/Adh1/Adipor2/Akr1a1/Akr1c18/Aldh1a1/Apoa1/Apoa4/As3mt/Asah2/Aspa/Atp8b1/Auh/Bco2/Cd36/Cd74/Ces1d/Cryl1/Cyb5a/Cyp2b10/Cyp2b19/Cyp2c29/Cyp2c40/Cyp2c55/Cyp2d26/Cyp2s1/Cyp4f14/Dbi/Decr2/Dgat1/Dld/Echdc1/Eci1/Eci3/Eno3/Ephx2/Etfdh/Fabp2/Fads2/Fasn/Gcdh/Ggt1/Gpd1/Gpx1/Hacl1/Hadh/Hagh/Hnf4a/Hpgd/Hsd17b4/Idh2/Ivd/Khk/Lipe/Lpgat1/Lypla1/Mapk14/Me2/Mlxipl/Naaa/Ncor1/Ndufs6/Nit2/Pck1/Pdk2/Pdk3/Rdh16/Scp2/Sgpl1/Slc27a2/Slc27a4/Slc4a4/Stard4/Stat3/Tecr/Ugt1a1/Ugt2a3/Vnn1,92
BP,GO:0006082,organic acid metabolic process,136/863,469/4859,1.8166255384993632e-10,6.298587331560508e-8,5.605885550198411e-8,Abat/Abcd1/Abcd3/Abcg2/Abhd16a/Acaa1a/Acaa1b/Acaa2/Acad11/Acad8/Acadm/Acat1/Acat2/Aco1/Acot12/Acot4/Acox1/Acss2/Acy1/Adh1/Adipor2/Ahcy/Akr1a1/Akr1c18/Aldh1a1/Aldh1l1/Aldh6a1/Apoa1/Apoa4/Arg2/As3mt/Asah2/Aspa/Atp2b4/Atp8b1/Auh/Bco2/Cd36/Cd74/Ces1d/Cryl1/Csad/Cyb5a/Cyp2b10/Cyp2b19/Cyp2c29/Cyp2c40/Cyp2c55/Cyp2d26/Cyp2s1/Cyp4f14/Dao/Dars2/Dbi/Decr2/Dgat1/Dhfr/Dld/Dpep1/Echdc1/Eci1/Eci3/Eno3/Ephx2/Etfdh/Fabp2/Fads2/Fasn/Gadl1/Gcdh/Ggt1/Glud1/Gne/Gnpda1/Gpd1/Gpx1/Gstz1/Hacl1/Hadh/Hagh/Hnf4a/Hpgd/Hsd17b4/Idh2/Ireb2/Ivd/Iyd/Khk/Lipe/Lpgat1/Lta4h/Lypla1/Mapk14/Mccc2/Me2/Mlxipl/Mpst/Mrps36/Mthfd1/Naaa/Nanp/Ncor1/Ndufs6/Nit2/Oat/Otc/Papss1/Pck1/Pdk2/Pdk3/Pipox/Pm20d1/Pnp/Pycrl/Qdpr/Rdh16/Scly/Scp2/Sdhb/Sgpl1/Slc23a2/Slc27a2/Slc27a4/Slc4a4/Slc7a7/Smpd3/Spr/Stard4/Stat3/Sult1b1/Sult2b1/Syk/Tecr/Ugt1a1/Ugt2a3/Vnn1,136
