pathway,pval,padj,ES,NES,nMoreExtreme,size
GO_BP_CELL_ACTIVATION,0.3888888888888889,0.9170372074005929,0.21172262265322944,1.0199804065511262,6,1194
GO_BP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,0.8932038834951457,1,-0.2167699664588896,-0.8478535323972936,827,497
GO_BP_PLATELET_DEGRANULATION,0.004032258064516129,0.16086670013806953,0.44434180109873556,1.7346663370788333,0,114
GO_BP_SECRETION,0.7676056338028169,1,-0.23157817734667369,-0.9375582924251848,762,1351
GO_BP_MYELOID_LEUKOCYTE_ACTIVATION,0.07575757575757576,0.5508811519449818,0.23899452315870723,1.1207995308951586,4,575
GO_BP_EXOCYTOSIS,0.6896551724137931,1,0.20652788617285564,0.9796047292702339,19,791
GO_BP_LEUKOCYTE_MEDIATED_IMMUNITY,0.6809176225234619,1,-0.23804507576147144,-0.945559642709035,652,661
GO_BP_IMMUNE_EFFECTOR_PROCESS,0.8835546475995915,1,-0.21903714479516395,-0.8798267220372565,864,1010
GO_BP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.7857142857142857,1,0.2006301180659489,0.9452735623165843,43,614
GO_BP_RNA_MODIFICATION,0.02336448598130841,0.32996704513272057,0.33553481578484173,1.3841434647134747,4,146
GO_BP_REGULATION_OF_PROTEIN_STABILITY,0.9279069767441861,1,-0.21168565682685206,-0.8005276159667584,797,260
GO_BP_RNA_PROCESSING,0.14814814814814814,0.703549311238056,0.2239033735842874,1.0680667840783244,3,913
GO_BP_MRNA_PROCESSING,1,1,0.17566102759432978,0.8097485418370856,81,461
GO_BP_CYTIDINE_TO_URIDINE_EDITING,0.868421052631579,1,0.33193027994210866,0.6632230285620604,395,6
GO_BP_MRNA_METABOLIC_PROCESS,0.02702702702702703,0.3444360460233476,0.24641028568999168,1.1690566743692012,0,745
GO_BP_MRNA_MODIFICATION,0.6612021857923497,1,0.30769738134815305,0.8755613415975997,241,22
GO_BP_PROTEIN_STABILIZATION,1,1,0.17470630517383742,0.7330912363462843,201,160
GO_BP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING,0.7504244482173175,1,-0.34713593318986125,-0.7812871160529128,441,13
GO_BP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,0.043478260869565216,0.43070783448855277,0.2428814895386292,1.1475998319289287,1,639
GO_BP_BLOOD_COAGULATION_INTRINSIC_PATHWAY,0.26424870466321243,0.8348850408834897,-0.540935810125031,-1.188046050258684,152,12
GO_BP_REGULATION_OF_PEPTIDASE_ACTIVITY,0.7217391304347827,1,0.21299872499651176,0.9524940250793166,82,332
GO_BP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.7854748603351955,1,-0.22668660221385034,-0.8754159540402296,702,358
GO_BP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,0.9943310657596371,1,-0.1894451618350226,-0.7244929754892456,876,299
GO_BP_PROTEIN_ACTIVATION_CASCADE,0.37623762376237624,0.910800738878288,-0.4390601186376737,-1.073929070226651,227,19
GO_BP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,0.5254237288135594,0.9772393678873024,0.37964756871588257,0.956261026611754,216,13
GO_BP_REGULATION_OF_HYDROLASE_ACTIVITY,0.3888888888888889,0.9170372074005929,0.20912081367565669,1.014006483200567,6,1055
GO_BP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE,0.1116816431322208,0.6344136343116699,-0.3430056149592116,-1.223735358290687,86,143
GO_BP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.8964803312629399,1,-0.21582592942416784,-0.8625598945264681,865,872
GO_BP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.10884353741496598,0.6293965488044435,-0.30686221590014484,-1.1772476286612084,95,327
GO_BP_REGULATION_OF_PROTEOLYSIS,0.03225806451612903,0.37675807266547245,0.25177763073937065,1.1790191185379244,1,576
GO_BP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,0.038461538461538464,0.40487284789132844,0.23657920825484585,1.1277737113803223,0,907
GO_BP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,0.4,0.9214931560456543,0.21004542939098136,1.0494498098033247,1,1417
GO_BP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.21188340807174888,0.7800504786210561,-0.2882378223973154,-1.109549287130899,188,344
GO_BP_REGULATION_OF_BODY_FLUID_LEVELS,0.25054945054945055,0.8192951826120518,-0.2806035514291661,-1.0895761754799118,227,406
GO_BP_INNATE_IMMUNE_RESPONSE,0.20125130344108447,0.7662196859195838,-0.27564852634373954,-1.0960885220620342,192,689
GO_BP_COAGULATION,0.35795454545454547,0.8978602403918526,-0.27358224373554013,-1.0430884047852647,314,281
GO_BP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,0.6144578313253012,1,0.2076102916889956,0.960265556591634,50,463
GO_BP_COMPLEMENT_ACTIVATION,0.06706408345752608,0.5248823839581446,-0.4579546031896588,-1.3852472141823227,44,48
GO_BP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.21106259097525473,0.7787062775348279,-0.37353638926408106,-1.192206072357441,144,65
GO_BP_RESPONSE_TO_WOUNDING,0.5737179487179487,0.9933769870866787,-0.24695176916491027,-0.9709745484427278,536,532
GO_BP_NEGATIVE_REGULATION_OF_COMPLEMENT_ACTIVATION,0.5676625659050967,0.9904744371018046,-0.44217291654288093,-0.917931374838834,322,9
GO_BP_ACTIVATION_OF_IMMUNE_RESPONSE,0.8514851485148515,1,0.2023940129649004,0.9233374584754557,85,383
GO_BP_DEFENSE_RESPONSE,0.5975733063700708,0.9978593982667054,-0.2415903511536782,-0.9765308792923965,590,1289
GO_BP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,0.22590361445783133,0.7978607506152754,0.3274643835302344,1.1286197939583098,74,51
GO_BP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,0.8703108252947481,1,-0.21824669829597204,-0.8574898430155516,811,545
GO_BP_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY,0.06930693069306931,0.5303014629821192,0.2854632537232652,1.207223211162021,13,176
GO_BP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,1,1,0.18879800522595316,0.9450945498256803,7,1588
GO_BP_STEM_CELL_DIFFERENTIATION,0.1787709497206704,0.7365680517455613,0.2532274196606158,1.1094848111637852,31,226
GO_BP_REGULATION_OF_RESPONSE_TO_STRESS,0.9375,1,0.19053475374058793,0.9288851162160706,14,1262
GO_BP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.1096433289299868,0.6312032855245113,-0.36105338229110007,-1.256226249103144,82,119
GO_BP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,0.038461538461538464,0.40487284789132844,0.23718203442649016,1.1349644820037863,0,919
GO_BP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.8751269035532995,1,-0.22118458691303025,-0.8929740127791518,861,1249
GO_BP_PROTEOLYSIS,0.6,0.9985067359194936,0.19710802945671144,0.9880995172049792,2,1421
GO_BP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.06451612903225806,0.5159780584771777,0.23846763178522865,1.1350185501875127,1,825
GO_BP_REGULATION_OF_IMMUNE_RESPONSE,0.7559462254395036,1,-0.23052762891311934,-0.9198515520358146,730,751
GO_BP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY,0.36607142857142855,0.907039718980874,0.22434173860329465,1.0135296903554973,40,342
GO_BP_RESPONSE_TO_BIOTIC_STIMULUS,0.2634791454730417,0.8348423197754501,-0.2632723075608997,-1.0603545094096825,258,1154
GO_BP_REGULATION_OF_DEFENSE_RESPONSE,0.6982124079915878,1,-0.23496065701064536,-0.929575215341008,663,590
GO_BP_NEGATIVE_REGULATION_OF_PROTEOLYSIS,0.007042253521126761,0.20103921568627453,0.31501535449817475,1.3870800965668633,0,260
GO_BP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.7314285714285714,1,-0.23747917494091744,-0.9024554186053934,639,277
GO_BP_WOUND_HEALING,0.14285714285714285,0.6931918058278683,0.2416862337515808,1.1157909004584121,12,436
GO_BP_CELLULAR_COMPONENT_DISASSEMBLY,0.7777777777777778,1,0.2063013133071045,0.9519417438643948,55,488
GO_BP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.3082872928176796,0.8602750501461778,-0.2749354732072469,-1.0647766855512573,278,387
GO_BP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.10848400556328233,0.6287639775055127,-0.3722197248318718,-1.2522378526285423,77,92
GO_BP_HUMORAL_IMMUNE_RESPONSE,0.016049382716049384,0.286676918775339,-0.3883639135898549,-1.4138828187142236,12,163
GO_BP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.3536711478800414,0.8931503150773559,-0.26038125001892537,-1.0406506284877657,341,843
