pathway,pval,padj,ES,NES,nMoreExtreme,size
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.25225225225225223,0.5700586676196432,-0.35541171416567613,-1.1605213839988349,139,40
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.3170731707317073,0.6466794464838687,-0.48043266383287286,-1.140904572437699,168,11
KEGG_BUTANOATE_METABOLISM,0.7280898876404495,0.9561349083243845,0.2709906082651588,0.8278025250946474,323,29
KEGG_LYSINE_DEGRADATION,0.2814645308924485,0.6071437965227912,0.35437001561198955,1.1330472242992897,122,35
KEGG_TRYPTOPHAN_METABOLISM,0.8859060402684564,1,0.22449097393437825,0.6938685515330053,395,30
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.6684782608695652,0.9165958327149417,-0.2964822354148958,-0.8462861845608838,368,22
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.7952898550724637,0.9851445289456481,-0.24145052612068824,-0.8013568969634036,438,43
KEGG_PROPANOATE_METABOLISM,0.5062836624775583,0.8071171923202555,-0.3180505372839825,-0.9706031306770324,281,29
KEGG_BETA_ALANINE_METABOLISM,0.9259962049335864,1,-0.23426587894638373,-0.6343932541392573,487,19
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.013215859030837005,0.09964601769911505,0.5847641300222696,1.7449571351973832,5,25
KEGG_ABC_TRANSPORTERS,0.8767772511848341,1,0.23536825711864462,0.7277358589537346,369,32
KEGG_LYSOSOME,0.9977777777777778,1,0.16224543297175745,0.6555957714594814,448,107
KEGG_TYPE_II_DIABETES_MELLITUS,0.03783783783783784,0.19020270270270273,-0.45971966819198307,-1.5011168296297237,20,40
KEGG_PEROXISOME,0.20568927789934355,0.5090244547574964,0.31428343570988276,1.163342674900548,93,68
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.4607329842931937,0.7708548890254623,-0.23362009794762684,-0.9868479060020694,263,175
KEGG_ERBB_SIGNALING_PATHWAY,0.008791208791208791,0.08460599229829999,0.4087141837139078,1.5633267750407462,3,81
KEGG_PATHWAYS_IN_CANCER,0.8200692041522492,0.9990945965522237,-0.19800596299733939,-0.8783852571305792,473,269
KEGG_CELL_CYCLE,0.034403669724770644,0.17688827447530478,0.33636924472699997,1.3632944757119299,14,112
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.7058823529411765,0.9439709375436636,-0.2199627001482257,-0.8678237762120947,395,111
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.004291845493562232,0.05507459036439227,0.49346502869915765,1.6850482410069858,1,45
KEGG_VIRAL_MYOCARDITIS,0.08196721311475409,0.30460423091489475,-0.39729907791856356,-1.3854243915477142,44,56
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.9069264069264069,1,0.1998226511150097,0.7462105829695214,418,70
KEGG_AXON_GUIDANCE,0.08540925266903915,0.3128875628875629,-0.321629873969293,-1.2787563621261937,47,115
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.9407407407407408,1,-0.22841284292830588,-0.6172527096991057,507,18
KEGG_FATTY_ACID_METABOLISM,0.8131672597864769,0.997414307755526,-0.23783600941996585,-0.780506527321048,456,41
KEGG_PPAR_SIGNALING_PATHWAY,0.010964912280701754,0.09081524018453398,0.46926195544049104,1.6604267605855374,4,54
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.06941431670281996,0.27875016726883445,0.5418344907847483,1.4893646333581525,31,17
KEGG_PYRUVATE_METABOLISM,0.04398148148148148,0.20549024127862303,0.458361117413253,1.451439211118176,18,34
KEGG_INSULIN_SIGNALING_PATHWAY,0.9350877192982456,1,-0.1897439360805017,-0.7561077008928263,532,118
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.46950092421441775,0.783197097282125,-0.2821484953078566,-0.9792601240307047,253,57
KEGG_ENDOCYTOSIS,0.8747795414462081,1,-0.19826763622859603,-0.8243648741448826,495,161
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.5652173913043478,0.853247133189773,-0.35453120042127173,-0.9128348082533165,311,15
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.7844990548204159,0.9815951432033418,-0.3166482273658817,-0.7654070177094262,414,12
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.6259259259259259,0.8886985726280437,-0.25803407020538377,-0.8965931981743785,337,58
KEGG_SPHINGOLIPID_METABOLISM,0.8402777777777778,1,0.24374780804887347,0.7718480315756647,362,34
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.02391304347826087,0.14246606855302507,0.4174831916602718,1.5056611230178618,10,59
KEGG_SPLICEOSOME,0.0043859649122807015,0.05507459036439227,0.42551915475625246,1.7056097255179565,1,104
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.08089887640449438,0.3035350002914262,0.4509623741415092,1.3775672685739142,35,29
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.00211864406779661,0.04028622540250447,0.7424085133672372,1.9246190211646357,0,13
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.24152542372881355,0.5618959237988513,0.4609534533670425,1.1949752302785037,113,13
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.21199143468950749,0.5211841822279158,0.5288438333640324,1.2386103782647864,98,9
KEGG_ADHERENS_JUNCTION,0.4155844155844156,0.7314446167386112,-0.2835607864127446,-0.9998632089363877,223,64
KEGG_RIBOFLAVIN_METABOLISM,0.2055084745762712,0.5090244547574964,0.4819339370046526,1.2493650132014318,96,13
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.10444444444444445,0.3596466190961604,0.38537616273387315,1.2978681238644072,46,43
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.5330948121645797,0.8338285325814803,-0.25213202312754385,-0.9554721177976451,297,89
KEGG_FOCAL_ADHESION,0.7464788732394366,0.9639165266830341,-0.20867792468032276,-0.8803425085154867,423,176
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.35424354243542433,0.6818431261235689,-0.3013201160443781,-1.0498969927281814,191,59
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.06690777576853527,0.27697851292415704,-0.3487717016013439,-1.3378190157096583,36,95
KEGG_DILATED_CARDIOMYOPATHY,0.2032967032967033,0.5062518986572696,-0.32985209224008216,-1.1734679963554573,110,65
KEGG_TIGHT_JUNCTION,0.9508928571428571,1,0.18211452872181297,0.7247542495028969,425,98
KEGG_VIBRIO_CHOLERAE_INFECTION,0.8680089485458613,1,0.22476039638272843,0.7466480041502028,387,40
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.06047516198704104,0.26291518300157607,0.39443819422870674,1.3880206569780205,27,52
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.005366726296958855,0.06244454303460515,-0.5665841371001464,-1.7483147301862363,2,31
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.0017452006980802793,0.04028622540250447,-0.43910953473843906,-1.7969713190528533,0,146
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.24817518248175183,0.5699833061085282,-0.3146311386380084,-1.1254418283099135,135,66
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.31759656652360513,0.6466794464838687,0.3218619559223391,1.0990706354687851,147,45
KEGG_HISTIDINE_METABOLISM,0.5717391304347826,0.8595170372090324,0.3130094770742322,0.9022831552390335,262,21
KEGG_PRIMARY_IMMUNODEFICIENCY,0.3862815884476534,0.7095482358761138,-0.3584786709086387,-1.0528516514172463,213,26
KEGG_PURINE_METABOLISM,0.49321266968325794,0.8033011727850684,0.23566133646940396,0.9765212991202312,217,126
KEGG_ALZHEIMERS_DISEASE,0.01839080459770115,0.1190117584885718,0.3529129365244907,1.4564225650127747,7,124
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.6053811659192825,0.8818359544956172,0.2599100016840657,0.9180271699049506,269,55
KEGG_NOTCH_SIGNALING_PATHWAY,0.22898032200357782,0.5462539037627725,-0.3574087751409471,-1.1816830438466206,127,42
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.2814645308924485,0.6071437965227912,0.3554739805179671,1.1365769935160264,122,35
KEGG_LONG_TERM_POTENTIATION,0.8074398249452954,0.9914691852654336,0.22762707666213652,0.8007115881771257,368,53
KEGG_CALCIUM_SIGNALING_PATHWAY,0.007054673721340388,0.07355150565027108,-0.3944536051480768,-1.582251529521969,3,124
KEGG_MELANOGENESIS,0.27007299270072993,0.5927917929454618,-0.3025459506349159,-1.1158114408544912,147,76
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.033807829181494664,0.17462209017597705,-0.34879074462342935,-1.4117525693534159,18,139
KEGG_OOCYTE_MEIOSIS,0.8724954462659381,1,-0.20599984884873726,-0.7812894971064734,478,90
KEGG_GNRH_SIGNALING_PATHWAY,0.5496688741721855,0.8432250031578757,0.2493427401750436,0.9524503501295019,248,80
KEGG_GAP_JUNCTION,0.6038961038961039,0.8808121929883589,0.24659737945375743,0.9208844605661546,278,70
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.19419237749546278,0.49827289912356076,-0.3265539175891807,-1.2037045481267068,106,73
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.581981981981982,0.8633449468950801,-0.2804933420334882,-0.9158913691500358,322,40
KEGG_OLFACTORY_TRANSDUCTION,0.346072186836518,0.6774304447118337,0.3787416400423728,1.0880697978725853,162,20
KEGG_TASTE_TRANSDUCTION,0.7438330170777988,0.9625797088483655,-0.2987619881606278,-0.8090490631190602,391,19
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.0017857142857142857,0.04028622540250447,-0.4377205668289529,-1.7232674593254025,0,110
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.07223476297968397,0.2863318499682136,0.41469010489402447,1.3817422368688714,31,42
KEGG_RETINOL_METABOLISM,0.04114490161001789,0.19748003876863432,-0.46660417036302365,-1.4916837355057189,22,37
KEGG_TYROSINE_METABOLISM,0.5648351648351648,0.853247133189773,0.30980352155300306,0.9405789535892255,256,27
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.1670428893905192,0.4644204776635176,0.383667218765009,1.2588574279910814,73,37
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.07252747252747253,0.2863318499682136,0.45753790028720526,1.389107900782606,32,27
