ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0001525,angiogenesis,63/1072,481/14945,2.2035591182070704e-6,0.007023788452052883,0.006629320672327037,Adamts1/Adm2/Angptl4/Angptl6/Anxa3/Apln/Bmper/Btg1/Ccl2/Ccn1/Ccn2/Cdh5/Clec14a/Clic4/Col4a1/Col4a2/Col8a1/Cxcl10/Cyp1b1/Ddah1/Ecm1/Edn1/Epha2/Ereg/Esm1/F3/Flcn/Flt1/Fut1/Gata2/Hif1a/Hmox1/Htatip2/Ihh/Itga5/Kdr/Lrg1/Mfge8/Nos3/Notch4/Plcd3/Plxnd1/Pparg/Ppp1r15a/Prkx/Ptgs2/Ptprb/Ptprm/Rgcc/Robo4/Rock2/S1pr1/Sars/Slit2/Sox17/Tgfa/Thbs1/Tie1/Tmem100/Tnfaip2/Tnfrsf12a/Unc5b/Wars,63
BP,GO:0015849,organic acid transport,39/1072,248/14945,2.7549670335567302e-6,0.007023788452052883,0.006629320672327037,Abcc2/Abcc3/Abcc4/Abcc5/Acsl3/Acsl4/Adora1/Bdnf/Cln8/Edn1/Eprs/Fabp4/Gabbr1/Il1rn/Myc/Nr1h4/Pla2g12a/Pla2g2e/Pla2g4a/Plin2/Pparg/Sfxn3/Slc17a5/Slc17a8/Slc1a4/Slc25a30/Slc27a6/Slc2a1/Slc38a1/Slc38a2/Slc38a7/Slc6a9/Slc7a1/Slc7a11/Slc7a3/Slc7a5/Slco1b2/Thbs1/Trpc4,39
BP,GO:0006749,glutathione metabolic process,17/1072,69/14945,5.2329350309796585e-6,0.008894245240988427,0.008394729460224211,Chac1/Cth/Gclc/Gsr/Gss/Gsta1/Gsta2/Gsta3/Gsta4/Gstm1/Gstm3/Gstm4/Gstm6/Hpgds/Nat8f5/Oplah/Slc7a11,17
BP,GO:0055072,iron ion homeostasis,16/1072,69/14945,2.2448681778291228e-5,0.023656393539754697,0.02232781066747009,Atp6v1a/Atp6v1g1/Bola2/Fth1/Ftl1/Hfe/Hif1a/Hmox1/Lcn2/Myc/Neo1/Rhag/Slc39a8/Slc6a9/Steap1/Steap2,16
BP,GO:0006575,cellular modified amino acid metabolic process,28/1072,168/14945,2.3197091135276228e-5,0.023656393539754697,0.02232781066747009,Acadl/Aldh1l2/Chac1/Crym/Cth/Ctsb/Ctsl/Gclc/Ggh/Gsr/Gss/Gsta1/Gsta2/Gsta3/Gsta4/Gstm1/Gstm3/Gstm4/Gstm6/Hpgds/Mthfd1l/Mthfd2/Mthfr/Nat8f5/Oplah/Plscr1/Shmt2/Slc7a11,28
BP,GO:0006520,cellular amino acid metabolic process,34/1072,226/14945,3.0507259339556372e-5,0.02592608589539966,0.024470033280781008,Aars/Asns/Atf4/Azin2/Cars/Comt/Cth/Ddah1/Eprs/Gars/Gclc/Gfpt1/Got1/Gpt2/Hibadh/Iars/Il4i1/Il4i1b/Lars/Mars1/Mthfr/Nars/Nos3/Nr1h4/Odc1/Phgdh/Psat1/Psph/Pycr1/Sars/Shmt2/Slc39a8/Slc7a11/Wars,34
BP,GO:0006879,cellular iron ion homeostasis,13/1072,50/14945,3.604960329132797e-5,0.026259561026068762,0.02478477988691,Atp6v1a/Atp6v1g1/Bola2/Fth1/Ftl1/Hfe/Hif1a/Hmox1/Lcn2/Myc/Slc39a8/Slc6a9/Steap2,13
BP,GO:0046942,carboxylic acid transport,32/1072,213/14945,5.3123882823928245e-5,0.03120359406192033,0.02945114770720776,Abcc2/Abcc3/Abcc4/Abcc5/Acsl4/Adora1/Bdnf/Ces1b/Cln8/Edn1/Gabbr1/Il1rn/Myc/Nr1h4/Pla2g12a/Pla2g2e/Pla2g4a/Sfxn3/Slc16a11/Slc17a5/Slc17a8/Slc1a4/Slc25a30/Slc38a1/Slc38a2/Slc6a9/Slc7a1/Slc7a11/Slc7a3/Slc7a5/Slco1b2/Trpc4,32
BP,GO:0071695,anatomical structure maturation,33/1072,224/14945,6.068228865696324e-5,0.03120359406192033,0.02945114770720776,Adamts7/Aldh1a2/Angptl8/App/Catsper4/Catsperd/Cdh3/Cdh5/Ctsl/Ddit3/Edn1/Ednrb/Ereg/Fermt1/Gata2/Hif1a/Igf1/Ihh/Kdr/Lhx6/Lrrk2/Mbtps2/Pabpc1l/Pdgfb/Pparg/Ptgs2/Rflnb/Rnd1/S1pr1/Sirt2/Snx10/Tbx6/Washc5,33
BP,GO:0045765,regulation of angiogenesis,37/1072,263/14945,6.119551688942995e-5,0.03120359406192033,0.02945114770720776,Adamts1/Adm2/Anxa3/Bmper/Btg1/Ccl2/Cdh5/Col4a2/Cxcl10/Cyp1b1/Ddah1/Ecm1/Epha2/F3/Flcn/Flt1/Fut1/Gata2/Hif1a/Hmox1/Htatip2/Itga5/Kdr/Lrg1/Nos3/Notch4/Plxnd1/Pparg/Ppp1r15a/Ptprm/Rgcc/Rock2/Sars/Thbs1/Tie1/Tnfrsf12a/Wars,37
