ensembl,symbol,description,log2FoldChange,pvalue,padj,206161_sp_3d_tg,206176_sp_3d_tg,206177_sp_3d_tg,206167_sp_3d_tg,206168_sp_3d_tg,206214_sp_3d_tg,206229_sp_3d_tg,206174_sp_3d_wt,206175_sp_3d_wt,206158_sp_3d_wt,206165_sp_3d_wt,206166_sp_3d_wt,206215_sp_3d_wt,206227_sp_3d_wt
ENSMUSG00000024640,Psat1,phosphoserine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:2183441],3.361616656,3.26537E-53,5.79962E-49,169,462,407,483,306,516,501,50,54,41,52,28,37,27
ENSMUSG00000038539,Atf5,activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857],3.240233373,4.62226E-45,4.1048E-41,708,1667,2191,2299,1206,2404,2152,158,189,184,222,190,211,191
ENSMUSG00000010755,Cars,cysteinyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1351477],1.583850757,8.58745E-31,5.08406E-27,224,264,205,207,220,258,235,79,91,100,71,56,83,77
ENSMUSG00000038508,Gdf15,growth differentiation factor 15 [Source:MGI Symbol;Acc:MGI:1346047],3.897158103,6.55127E-27,2.90893E-23,46,129,174,215,265,330,237,16,14,9,25,4,19,13
ENSMUSG00000029752,Asns,asparagine synthetase [Source:MGI Symbol;Acc:MGI:1350929],2.219849191,1.23996E-26,4.40457E-23,235,551,403,543,298,600,475,94,126,107,86,105,78,76
ENSMUSG00000032715,Trib3,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675],4.352785475,8.29716E-26,2.4561E-22,66,304,570,524,430,417,475,27,14,13,53,4,21,19
ENSMUSG00000029378,Areg,amphiregulin [Source:MGI Symbol;Acc:MGI:88068],5.113006108,2.36981E-22,6.01289E-19,69,842,877,1616,578,734,588,28,14,25,32,35,13,10
ENSMUSG00000042406,Atf4,activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096],1.432018358,7.00134E-22,1.55439E-18,2126,3027,3128,3379,3721,4166,3962,1118,1457,1493,1496,1050,1354,1081
ENSMUSG00000052825,Gm9892,predicted gene 9892 [Source:MGI Symbol;Acc:MGI:3701610],1.388765724,2.65832E-21,5.24605E-18,658,784,1172,989,550,982,984,358,377,392,398,251,347,293
ENSMUSG00000027737,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]",4.25909495,1.41704E-20,2.51681E-17,35,152,145,263,113,119,196,5,6,2,21,7,16,1
ENSMUSG00000005667,Mthfd2,"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]",2.120128621,1.61374E-20,2.60561E-17,479,778,656,796,891,850,916,151,215,192,126,232,162,162
ENSMUSG00000040354,Mars1,methionine-tRNA synthetase 1 [Source:MGI Symbol;Acc:MGI:1345633],1.345665478,2.51233E-19,3.71846E-16,307,401,480,456,219,544,487,150,176,180,206,124,199,132
ENSMUSG00000029777,Gars,glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057],1.526771478,3.09625E-18,4.23019E-15,354,670,664,799,433,681,663,231,212,278,246,189,200,168
ENSMUSG00000042608,Stk40,serine/threonine kinase 40 [Source:MGI Symbol;Acc:MGI:1921428],0.883801558,2.09292E-17,2.65517E-14,355,353,377,432,269,392,388,211,255,222,224,141,213,178
ENSMUSG00000025403,Shmt2,serine hydroxymethyltransferase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1277989],1.506867151,2.42023E-17,2.86572E-14,136,299,230,288,176,310,354,86,92,109,123,67,103,71
ENSMUSG00000068739,Sars,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],1.648654662,3.01243E-17,3.34398E-14,705,1119,1401,1696,643,1465,1398,369,356,424,472,373,417,313
ENSMUSG00000026483,Fam129a,"family with sequence similarity 129, member A [Source:MGI Symbol;Acc:MGI:2137237]",2.089110999,3.85141E-17,4.02381E-14,203,377,576,533,642,422,650,110,171,97,154,89,136,100
ENSMUSG00000026615,Eprs,glutamyl-prolyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:97838],1.001736164,4.85526E-17,4.79079E-14,1209,1571,1781,1759,1492,1941,2009,809,989,1011,994,623,848,809
ENSMUSG00000053783,1700016K19Rik,RIKEN cDNA 1700016K19 gene [Source:MGI Symbol;Acc:MGI:1921480],3.655914089,7.55531E-17,7.06263E-14,13,45,53,51,26,39,43,3,3,2,4,7,2,1
ENSMUSG00000026709,Dars2,aspartyl-tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:2442510],-1.741793219,1.09119E-16,9.69034E-14,18,18,15,9,9,16,12,52,56,49,59,28,52,41
ENSMUSG00000030213,Atf7ip,activating transcription factor 7 interacting protein [Source:MGI Symbol;Acc:MGI:1858965],-0.583490245,2.75269E-16,2.32812E-13,398,338,327,358,294,399,419,547,665,617,682,426,570,429
ENSMUSG00000082361,Btc,"betacellulin, epidermal growth factor family member [Source:MGI Symbol;Acc:MGI:99439]",2.018975404,8.28247E-15,6.50605E-12,56,87,154,181,124,118,137,28,33,30,38,35,32,24
ENSMUSG00000030738,Eif3c,"eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]",1.257595844,8.42515E-15,6.50605E-12,2921,3825,5711,4911,4899,5261,6231,2088,2428,2304,2643,1274,2401,1776
ENSMUSG00000024587,Nars,asparaginyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1917473],1.779037119,8.89009E-15,6.57904E-12,1394,2751,3916,4048,1494,4106,3419,804,728,1078,1236,717,1109,641
ENSMUSG00000031297,Slc7a3,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 [Source:MGI Symbol;Acc:MGI:1100521]",3.541978965,9.66034E-15,6.86309E-12,23,64,90,77,81,54,105,8,21,0,7,2,6,3
ENSMUSG00000047822,Angptl8,angiopoietin-like 8 [Source:MGI Symbol;Acc:MGI:3643534],2.588411304,2.96396E-14,2.02473E-11,18,29,51,66,30,37,45,7,5,9,9,5,7,6
ENSMUSG00000031972,Acta1,"actin, alpha 1, skeletal muscle [Source:MGI Symbol;Acc:MGI:87902]",4.040988764,4.65097E-14,3.05948E-11,12,76,211,174,122,61,26,6,5,12,5,6,6,5
ENSMUSG00000067367,Lyar,Ly1 antibody reactive clone [Source:MGI Symbol;Acc:MGI:107470],0.861024476,7.98393E-14,5.06438E-11,489,548,513,574,418,710,653,310,367,418,349,170,317,294
ENSMUSG00000018238,Gdf9,growth differentiation factor 9 [Source:MGI Symbol;Acc:MGI:95692],4.150938808,1.20126E-13,7.35707E-11,4,70,137,85,53,74,39,7,7,3,3,4,4,0
ENSMUSG00000030207,Fam234b,"family with sequence similarity 234, member B [Source:MGI Symbol;Acc:MGI:1921775]",-0.900292436,5.18536E-13,3.06991E-10,85,97,63,67,54,108,78,142,163,170,201,101,172,117
ENSMUSG00000017724,Etv4,ets variant 4 [Source:MGI Symbol;Acc:MGI:99423],2.886494672,6.02176E-13,3.45008E-10,40,53,64,71,110,56,113,6,13,4,6,22,12,6
ENSMUSG00000024924,Vldlr,very low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:98935],2.204522985,1.09352E-12,6.06936E-10,225,426,354,646,382,399,451,75,119,69,90,165,54,51
ENSMUSG00000020000,Moxd1,"monooxygenase, DBH-like 1 [Source:MGI Symbol;Acc:MGI:1921582]",1.678499616,2.84078E-12,1.52894E-09,60,52,69,90,61,60,75,17,40,25,23,13,30,8
ENSMUSG00000044165,Bcl2l15,BCLl2-like 15 [Source:MGI Symbol;Acc:MGI:2685412],3.213089133,3.07133E-12,1.60441E-09,33,257,266,302,154,322,232,18,8,20,67,6,54,12
ENSMUSG00000030785,Cox6a2,cytochrome c oxidase subunit 6A2 [Source:MGI Symbol;Acc:MGI:104649],3.428726677,4.86015E-12,2.46632E-09,6,46,54,57,14,54,54,1,3,7,5,1,4,6
ENSMUSG00000030201,Lrp6,low density lipoprotein receptor-related protein 6 [Source:MGI Symbol;Acc:MGI:1298218],-0.822958211,6.24468E-12,3.08088E-09,203,222,154,234,156,314,222,419,426,370,511,245,501,285
ENSMUSG00000025408,Ddit3,DNA-damage inducible transcript 3 [Source:MGI Symbol;Acc:MGI:109247],1.877170246,7.17635E-12,3.44484E-09,109,200,476,336,196,334,288,61,79,84,109,86,78,49
ENSMUSG00000026020,Nop58,NOP58 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1933184],0.747531209,7.91881E-12,3.70121E-09,1075,1120,1124,1216,995,1522,1567,724,830,983,776,467,838,672
ENSMUSG00000040675,Mthfd1l,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:MGI Symbol;Acc:MGI:1924836],1.352049044,9.47854E-12,4.31663E-09,95,131,100,142,88,186,165,50,33,78,66,49,44,39
ENSMUSG00000023944,Hsp90ab1,"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]",0.589526824,1.09263E-11,4.85154E-09,10849,9318,10726,10233,8712,12510,13139,6949,7658,8709,8191,5607,8649,5891
ENSMUSG00000024883,Rin1,Ras and Rab interactor 1 [Source:MGI Symbol;Acc:MGI:2385695],3.238365398,1.17565E-11,5.09285E-09,19,80,161,165,124,122,126,13,3,31,5,14,6,13
ENSMUSG00000040010,Slc7a5,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 [Source:MGI Symbol;Acc:MGI:1298205]",1.871488788,1.45676E-11,6.16034E-09,126,324,151,308,446,420,432,69,120,93,86,83,112,63
ENSMUSG00000031960,Aars,alanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2384560],1.163995373,2.09205E-11,8.64113E-09,296,483,590,566,310,624,548,210,210,226,272,224,226,179
ENSMUSG00000029377,Ereg,epiregulin [Source:MGI Symbol;Acc:MGI:107508],2.013719182,2.14241E-11,8.64805E-09,46,100,138,104,104,130,105,27,54,17,27,8,23,35
ENSMUSG00000028179,Cth,cystathionase (cystathionine gamma-lyase) [Source:MGI Symbol;Acc:MGI:1339968],1.886023091,2.54008E-11,1.00254E-08,143,640,429,534,281,639,560,174,93,176,180,51,143,96
